sp_season,npairs,total_images_pc900,total_images_hf2,hf2_images_as_pct_of_pc900_median,hf2_images_as_pct_of_pc900_lci,hf2_images_as_pct_of_pc900_uci,total_duration_pc900,total_duration_hf2,hf2_dur_as_pct_of_pc900_median,hf2_dur_as_pct_of_pc900_lci,hf2_dur_as_pct_of_pc900_uci
Black Bear_summer,18,316,392,124.32849216710181,105.10471097737023,153.83189906179229,1927.3477550314562,2227.43859660017,115.62611489664144,104.419159220983,129.69994031511445
Black Bear_winter,2,111,105,94.5945945945946,0,96.3302752293578,632.7594114757118,494.86941147571184,78.20814712523753,0,79.4958772963886
Canada Lynx_summer,4,5,10,200,133.33333333333331,350.00000000000006,38.54012561060712,61.386834147476165,159.28031674754354,107.4924839876258,316.8823263759351
Canada Lynx_winter,7,85,94,111.20071684587813,76.5579044117647,151.00713012477715,424.2686694580135,408.1860758912329,96.51147482847782,74.96402621099621,141.22137956783493
Coyote_summer,10,56,78,136.93957115009746,98.29549088583308,179.42668371696502,361.2846738528554,422.52617520026575,117.6651379975113,101.2762845266114,153.85596433056935
Coyote_winter,12,154,231,150.1885417104728,126.83668903803132,192.63636363636363,919.5292524640996,1228.4663719590976,134.49556441335199,111.40182429068565,179.13414275542664
Elk (wapiti)_summer,1,13,14,107.6923076923077,107.6923076923077,107.6923076923077,34.85178393745558,34.85178393745558,100,100,100
Elk (wapiti)_winter,2,4,4,100,100,100,22.393567874911156,20.98356787491116,93.70354912680216,92.39555371394601,100
Fisher_summer,3,4,2,50,0,100,31.42745535714286,19.618303571428573,62.424091764622325,0,100
Fisher_winter,1,0,11,Inf,Inf,Inf,0,132.42745535714286,Inf,Inf,Inf
Gray Wolf_summer,1,16,9,56.25,56.25,56.25,100.86297297297298,86.45297297297299,85.71329044221088,85.71329044221088,85.71329044221088
Marten_winter,1,2,4,200,200,200,16.894285714285715,32.894285714285715,194.70657872484355,194.70657872484355,194.70657872484355
Moose_summer,14,1689,1906,112.93562652013415,88.52882528143773,119.92939509075403,6810.885356433547,6621.354550765519,97.12176180529951,84.55907534250156,100.23508671074268
Moose_winter,12,918,1121,122.1245687908827,116.22699575525024,147.93047146664782,5129.425752641932,6006.922541484759,116.7607734128181,108.9004666255157,158.51076563356546
Mule deer_summer,4,35,47,133.33333333333331,102.38095238095238,178.57142857142858,126.70723250425357,192.93929756039043,148.34852998785772,94.98258487132,194.93015813443057
Mule deer_winter,8,2214,2623,118.8456223286592,110.42543463700166,125.66161271511348,12176.060868732464,12618.645751169734,103.8537131250319,95.86151514102873,114.62125641008129
Muskrat_summer,1,304,343,112.82894736842107,112.82894736842107,112.82894736842107,1485.6238095238095,1932.2688095238095,130.0644750802132,130.0644750802132,130.0644750802132
Muskrat_winter,1,10,25,250,250,250,70.33428571428571,150.48142857142858,213.95174066701875,213.95174066701875,213.95174066701875
Porcupine_summer,2,2,3,150,0,300,9.327599687255669,9.663799843627835,103.60435875943001,0,207.20871751886003
Porcupine_winter,3,11,13,118.18181818181819,100,Inf,49.17519937451134,38.318999218139176,77.92342421696577,60.639296484389284,Inf
Red fox_winter,1,0,1,Inf,Inf,Inf,0,7.249491525423728,Inf,Inf,Inf
Red Squirrel_summer,1,8,3,37.5,37.5,37.5,83.0974358974359,36.54871794871795,43.98296716860035,43.98296716860035,43.98296716860035
Red Squirrel_winter,4,7,18,257.14285714285717,100,650,62.91452991452991,161.1948717948718,257.19867612038576,105.18823998935744,517.1214969249361
Snowshoe Hare_summer,8,92,88,97.77115539827405,69.65158045977012,366.9047619047617,898.4812578825091,963.7931695984068,110.45359527895263,76.740532332659,391.84139839975325
Snowshoe Hare_winter,15,NA,889,136.11741673066047,101.5903407031533,151.3435967874244,NA,8324.057331563226,133.72685090395294,100.88926873232394,149.90222648467648
White-tailed Deer_summer,17,1800,2120,118.09827172244138,104.90689305460137,134.56465231362898,7623.6443839980875,7609.477305070456,100.33373418346224,88.95817797822842,117.35018192025012
White-tailed Deer_winter,14,2350,2567,109.88222039479052,98.67084724790136,128.35695855705316,12120.284770605027,12445.175940109424,103.18472593983941,94.0459480791732,117.45343711872206
Woodland Caribou_summer,1,213,129,60.56338028169014,60.56338028169014,60.56338028169014,844.396316561941,677.1047374214558,80.18802594714853,80.18802594714853,80.18802594714853
